 iteration 1
Iter = 	420	 relative error = 	0.91969	 diff_step = 	17320.9505	 diff = 	3681970.6461	 diff1 = 	3675762.0488	 diff2 = 	-0.87309	 diff3 = 	-61.2122	 diff4 = 	-0.015408	 diff5 = 	2.3446	 diff6 = 	30.2856	 diff7 = 	6238.0678	 diff8 = 	6268.3534
Iter = 	440	 relative error = 	0.91952	 diff_step = 	16434.1248	 diff = 	3680408.9021	 diff1 = 	3674284.0189	 diff2 = 	-0.86675	 diff3 = 	-60.783	 diff4 = 	-0.015305	 diff5 = 	2.3598	 diff6 = 	30.1558	 diff7 = 	6154.0326	 diff8 = 	6184.1884
Iter = 	460	 relative error = 	0.91937	 diff_step = 	15544.6057	 diff = 	3678992.229	 diff1 = 	3672948.813	 diff2 = 	-0.86054	 diff3 = 	-60.362	 diff4 = 	-0.015204	 diff5 = 	2.3747	 diff6 = 	30.0253	 diff7 = 	6072.2538	 diff8 = 	6102.2791
Iter = 	480	 relative error = 	0.91922	 diff_step = 	14798.2384	 diff = 	3677688.2522	 diff1 = 	3671724.1478	 diff2 = 	-0.85445	 diff3 = 	-59.9489	 diff4 = 	-0.015106	 diff5 = 	2.3893	 diff6 = 	29.8944	 diff7 = 	5992.6391	 diff8 = 	6022.5335
Iter = 	500	 relative error = 	0.91909	 diff_step = 	14169.1187	 diff = 	3676481.2504	 diff1 = 	3670594.3898	 diff2 = 	-0.84849	 diff3 = 	-59.5432	 diff4 = 	-0.01501	 diff5 = 	2.4036	 diff6 = 	29.7636	 diff7 = 	5915.1	 diff8 = 	5944.8636
Iter = 	520	 relative error = 	0.91896	 diff_step = 	13594.2047	 diff = 	3675358.388	 diff1 = 	3669546.789	 diff2 = 	-0.84264	 diff3 = 	-59.1446	 diff4 = 	-0.014917	 diff5 = 	2.4177	 diff6 = 	29.633	 diff7 = 	5839.5504	 diff8 = 	5869.1834
Iter = 	540	 relative error = 	0.91884	 diff_step = 	13098.3093	 diff = 	3674305.9683	 diff1 = 	3668567.7278	 diff2 = 	-0.8369	 diff3 = 	-58.7524	 diff4 = 	-0.014827	 diff5 = 	2.4316	 diff6 = 	29.5029	 diff7 = 	5765.9103	 diff8 = 	5795.4131
Iter = 	560	 relative error = 	0.91873	 diff_step = 	12660.0076	 diff = 	3673316.1927	 diff1 = 	3667649.4823	 diff2 = 	-0.83129	 diff3 = 	-58.3664	 diff4 = 	-0.014738	 diff5 = 	2.4453	 diff6 = 	29.3733	 diff7 = 	5694.1044	 diff8 = 	5723.4776
Iter = 	580	 relative error = 	0.91863	 diff_step = 	12273.2783	 diff = 	3672379.2326	 diff1 = 	3666782.2999	 diff2 = 	-0.82577	 diff3 = 	-57.9922	 diff4 = 	-0.014653	 diff5 = 	2.4587	 diff6 = 	29.2444	 diff7 = 	5624.0623	 diff8 = 	5653.3067
Iter = 	600	 relative error = 	0.91853	 diff_step = 	11896.9995	 diff = 	3671490.4344	 diff1 = 	3665961.5849	 diff2 = 	-0.82036	 diff3 = 	-57.6238	 diff4 = 	-0.014571	 diff5 = 	2.4721	 diff6 = 	29.1164	 diff7 = 	5555.7198	 diff8 = 	5584.8361
Iter = 	620	 relative error = 	0.91843	 diff_step = 	11548.5949	 diff = 	3670647.0049	 diff1 = 	3665184.595	 diff2 = 	-0.81505	 diff3 = 	-57.2527	 diff4 = 	-0.014488	 diff5 = 	2.4852	 diff6 = 	28.9893	 diff7 = 	5489.0176	 diff8 = 	5518.0069
Iter = 	640	 relative error = 	0.91834	 diff_step = 	11201.4792	 diff = 	3669852.3785	 diff1 = 	3664454.8284	 diff2 = 	-0.80985	 diff3 = 	-56.886	 diff4 = 	-0.014407	 diff5 = 	2.4983	 diff6 = 	28.8632	 diff7 = 	5423.8988	 diff8 = 	5452.762
Iter = 	660	 relative error = 	0.91824	 diff_step = 	10842.1169	 diff = 	3669105.884	 diff1 = 	3663771.6695	 diff2 = 	-0.80473	 diff3 = 	-56.5247	 diff4 = 	-0.014327	 diff5 = 	2.5112	 diff6 = 	28.7381	 diff7 = 	5360.309	 diff8 = 	5389.047
Iter = 	680	 relative error = 	0.91815	 diff_step = 	10450.8891	 diff = 	3668408.8911	 diff1 = 	3663136.5404	 diff2 = 	-0.79971	 diff3 = 	-56.1694	 diff4 = 	-0.014248	 diff5 = 	2.524	 diff6 = 	28.6139	 diff7 = 	5298.1961	 diff8 = 	5326.81
Iter = 	700	 relative error = 	0.91806	 diff_step = 	10046.4011	 diff = 	3667751.7396	 diff1 = 	3662539.8308	 diff2 = 	-0.79478	 diff3 = 	-55.8201	 diff4 = 	-0.014172	 diff5 = 	2.5367	 diff6 = 	28.4909	 diff7 = 	5237.5102	 diff8 = 	5266.0011
