 iteration 1
Iter = 	20	 relative error = 	1.0704	 diff_step = 	1666051.1588	 diff = 	5980492.2991	 diff1 = 	5071186.3453	 diff2 = 	-0.25109	 diff3 = 	-0.016963	 diff4 = 	-0.00051745	 diff5 = 	407950.9715	 diff6 = 	1695.1065	 diff7 = 	499660.1443	 diff8 = 	501355.2509
Iter = 	40	 relative error = 	1.0556	 diff_step = 	234646.9788	 diff = 	5769143.2194	 diff1 = 	4937056.4451	 diff2 = 	-0.20088	 diff3 = 	-0.01362	 diff4 = 	-0.00040158	 diff5 = 	485325.714	 diff6 = 	1688.0944	 diff7 = 	345073.1808	 diff8 = 	346761.2753
Iter = 	60	 relative error = 	1.0501	 diff_step = 	125842.0125	 diff = 	5706846.8568	 diff1 = 	4886007.7681	 diff2 = 	-0.18321	 diff3 = 	-0.012403	 diff4 = 	-0.00036401	 diff5 = 	515246.7552	 diff6 = 	1758.3629	 diff7 = 	303834.1666	 diff8 = 	305592.5294
Iter = 	80	 relative error = 	1.0474	 diff_step = 	78233.0708	 diff = 	5681660.2529	 diff1 = 	4861863.703	 diff2 = 	-0.17506	 diff3 = 	-0.011814	 diff4 = 	-0.00034813	 diff5 = 	528892.1958	 diff6 = 	1826.4782	 diff7 = 	289078.0631	 diff8 = 	290904.5413
Iter = 	100	 relative error = 	1.0459	 diff_step = 	52964.0036	 diff = 	5669656.5487	 diff1 = 	4848769.5067	 diff2 = 	-0.17077	 diff3 = 	-0.011489	 diff4 = 	-0.00034039	 diff5 = 	536007.1305	 diff6 = 	1878.265	 diff7 = 	283001.8291	 diff8 = 	284880.0941
Iter = 	120	 relative error = 	1.0449	 diff_step = 	38286.5748	 diff = 	5663264.7873	 diff1 = 	4841016.4128	 diff2 = 	-0.16834	 diff3 = 	-0.011297	 diff4 = 	-0.00033621	 diff5 = 	540123.3685	 diff6 = 	1914.4784	 diff7 = 	280210.7076	 diff8 = 	282125.186
Iter = 	140	 relative error = 	1.0443	 diff_step = 	29048.841	 diff = 	5659585.4198	 diff1 = 	4836155.2017	 diff2 = 	-0.1669	 diff3 = 	-0.011179	 diff4 = 	-0.00033378	 diff5 = 	542689.1049	 diff6 = 	1938.9991	 diff7 = 	278802.2925	 diff8 = 	280741.2916
Iter = 	160	 relative error = 	1.0439	 diff_step = 	22757.8118	 diff = 	5657337.4161	 diff1 = 	4832975.1153	 diff2 = 	-0.16602	 diff3 = 	-0.011105	 diff4 = 	-0.00033229	 diff5 = 	544366.3447	 diff6 = 	1955.4426	 diff7 = 	278040.6909	 diff8 = 	279996.1335
Iter = 	180	 relative error = 	1.0436	 diff_step = 	18355.9034	 diff = 	5655872.8549	 diff1 = 	4830801.3428	 diff2 = 	-0.16549	 diff3 = 	-0.011058	 diff4 = 	-0.00033136	 diff5 = 	545492.3468	 diff6 = 	1966.4907	 diff7 = 	277612.8514	 diff8 = 	279579.3421
Iter = 	200	 relative error = 	1.0433	 diff_step = 	15240.7973	 diff = 	5654858.487	 diff1 = 	4829253.1065	 diff2 = 	-0.16516	 diff3 = 	-0.011029	 diff4 = 	-0.00033077	 diff5 = 	546262.0083	 diff6 = 	1973.9586	 diff7 = 	277369.5902	 diff8 = 	279343.5488
Iter = 	220	 relative error = 	1.0431	 diff_step = 	12992.4125	 diff = 	5654115.2315	 diff1 = 	4828107.4753	 diff2 = 	-0.16496	 diff3 = 	-0.01101	 diff4 = 	-0.0003304	 diff5 = 	546796.1242	 diff6 = 	1979.0477	 diff7 = 	277232.7606	 diff8 = 	279211.8082
Iter = 	240	 relative error = 	1.043	 diff_step = 	11316.4059	 diff = 	5653545.5552	 diff1 = 	4827232.8026	 diff2 = 	-0.16483	 diff3 = 	-0.010998	 diff4 = 	-0.00033016	 diff5 = 	547171.8962	 diff6 = 	1982.5425	 diff7 = 	277158.4901	 diff8 = 	279141.0325
Iter = 	260	 relative error = 	1.0429	 diff_step = 	10021.1335	 diff = 	5653092.3131	 diff1 = 	4826546.8765	 diff2 = 	-0.16476	 diff3 = 	-0.010991	 diff4 = 	-0.00033002	 diff5 = 	547439.6204	 diff6 = 	1984.9539	 diff7 = 	277121.0384	 diff8 = 	279105.9923
Iter = 	280	 relative error = 	1.0428	 diff_step = 	8986.8701	 diff = 	5652721.0599	 diff1 = 	4825996.8704	 diff2 = 	-0.16472	 diff3 = 	-0.010986	 diff4 = 	-0.00032994	 diff5 = 	547632.6786	 diff6 = 	1986.6192	 diff7 = 	277105.0677	 diff8 = 	279091.6869
Iter = 	300	 relative error = 	1.0427	 diff_step = 	8132.4063	 diff = 	5652411.629	 diff1 = 	4825549.1642	 diff2 = 	-0.1647	 diff3 = 	-0.010984	 diff4 = 	-0.0003299	 diff5 = 	547773.4726	 diff6 = 	1987.7658	 diff7 = 	277101.4024	 diff8 = 	279089.1682
Iter = 	320	 relative error = 	1.0426	 diff_step = 	7394.5385	 diff = 	5652153.0164	 diff1 = 	4825183.1755	 diff2 = 	-0.16469	 diff3 = 	-0.010982	 diff4 = 	-0.0003299	 diff5 = 	547877.0511	 diff6 = 	1988.5458	 diff7 = 	277104.42	 diff8 = 	279092.9658
Iter = 	340	 relative error = 	1.0425	 diff_step = 	6727.8245	 diff = 	5651937.4632	 diff1 = 	4824884.3883	 diff2 = 	-0.16469	 diff3 = 	-0.010981	 diff4 = 	-0.00032991	 diff5 = 	547953.5527	 diff6 = 	1989.0608	 diff7 = 	277110.6374	 diff8 = 	279099.6982
Iter = 	360	 relative error = 	1.0425	 diff_step = 	6123.1723	 diff = 	5651756.9758	 diff1 = 	4824639.5809	 diff2 = 	-0.1647	 diff3 = 	-0.010981	 diff4 = 	-0.00032994	 diff5 = 	548010.1484	 diff6 = 	1989.3852	 diff7 = 	277118.0373	 diff8 = 	279107.4225
Iter = 	380	 relative error = 	1.0425	 diff_step = 	5583.6539	 diff = 	5651605.3912	 diff1 = 	4824438.3608	 diff2 = 	-0.16471	 diff3 = 	-0.010981	 diff4 = 	-0.00032997	 diff5 = 	548052.1089	 diff6 = 	1989.5744	 diff7 = 	277125.5231	 diff8 = 	279115.0975
Iter = 	400	 relative error = 	1.0424	 diff_step = 	5088.2423	 diff = 	5651479.1114	 diff1 = 	4824274.2025	 diff2 = 	-0.16472	 diff3 = 	-0.010981	 diff4 = 	-0.00033001	 diff5 = 	548083.0152	 diff6 = 	1989.6636	 diff7 = 	277132.4062	 diff8 = 	279122.0697
