 iteration 1
Iter = 	420	 relative error = 	1.0414	 diff_step = 	4454.8838	 diff = 	5001829.2816	 diff1 = 	4809225.2577	 diff2 = 	-78.5194	 diff3 = 	-0.5296	 diff4 = 	-1.5008	 diff5 = 	121065.622	 diff6 = 	9247.5617	 diff7 = 	62371.3899	 diff8 = 	71618.9516
Iter = 	440	 relative error = 	1.0413	 diff_step = 	4075.7674	 diff = 	5001690.0589	 diff1 = 	4809110.0296	 diff2 = 	-78.17	 diff3 = 	-0.52702	 diff4 = 	-1.4965	 diff5 = 	121328.7434	 diff6 = 	9260.5587	 diff7 = 	62070.9207	 diff8 = 	71331.4794
Iter = 	460	 relative error = 	1.0413	 diff_step = 	3737.0818	 diff = 	5001575.5036	 diff1 = 	4809011.1811	 diff2 = 	-77.8656	 diff3 = 	-0.52476	 diff4 = 	-1.4929	 diff5 = 	121554.1393	 diff6 = 	9273.2878	 diff7 = 	61816.7786	 diff8 = 	71090.0664
Iter = 	480	 relative error = 	1.0413	 diff_step = 	3432.7706	 diff = 	5001480.4645	 diff1 = 	4808925.6794	 diff2 = 	-77.5996	 diff3 = 	-0.52277	 diff4 = 	-1.4899	 diff5 = 	121747.9388	 diff6 = 	9285.5622	 diff7 = 	61600.8963	 diff8 = 	70886.4586
Iter = 	500	 relative error = 	1.0413	 diff_step = 	3163.0724	 diff = 	5001400.7676	 diff1 = 	4808850.9378	 diff2 = 	-77.3667	 diff3 = 	-0.52102	 diff4 = 	-1.4872	 diff5 = 	121915.1708	 diff6 = 	9297.2655	 diff7 = 	61416.7684	 diff8 = 	70714.0339
Iter = 	520	 relative error = 	1.0412	 diff_step = 	2928.2796	 diff = 	5001333.3932	 diff1 = 	4808785.1306	 diff2 = 	-77.1622	 diff3 = 	-0.51948	 diff4 = 	-1.485	 diff5 = 	122059.978	 diff6 = 	9308.3304	 diff7 = 	61259.1208	 diff8 = 	70567.4512
Iter = 	540	 relative error = 	1.0412	 diff_step = 	2718.8674	 diff = 	5001276.8493	 diff1 = 	4808727.6753	 diff2 = 	-76.9822	 diff3 = 	-0.51811	 diff4 = 	-1.4831	 diff5 = 	122185.8072	 diff6 = 	9318.712	 diff7 = 	61123.6382	 diff8 = 	70442.3501
Iter = 	560	 relative error = 	1.0412	 diff_step = 	2522.8596	 diff = 	5001229.6765	 diff1 = 	4808677.795	 diff2 = 	-76.8235	 diff3 = 	-0.5169	 diff4 = 	-1.4814	 diff5 = 	122295.5499	 diff6 = 	9328.3805	 diff7 = 	61006.7728	 diff8 = 	70335.1533
Iter = 	580	 relative error = 	1.0412	 diff_step = 	2340.728	 diff = 	5001190.2694	 diff1 = 	4808634.4048	 diff2 = 	-76.6833	 diff3 = 	-0.51582	 diff4 = 	-1.4799	 diff5 = 	122391.5877	 diff6 = 	9337.3342	 diff7 = 	60905.6218	 diff8 = 	70242.956
Iter = 	600	 relative error = 	1.0412	 diff_step = 	2170.8896	 diff = 	5001157.4326	 diff1 = 	4808596.7169	 diff2 = 	-76.5592	 diff3 = 	-0.51487	 diff4 = 	-1.4787	 diff5 = 	122475.8823	 diff6 = 	9345.5886	 diff7 = 	60817.7976	 diff8 = 	70163.3862
