 iteration 1
Iter = 	20	 relative error = 	1.069	 diff_step = 	1639896.3262	 diff = 	5406534.3569	 diff1 = 	5078440.7467	 diff2 = 	-58.6689	 diff3 = 	-0.39498	 diff4 = 	-0.11439	 diff5 = 	18092.33	 diff6 = 	36811.7706	 diff7 = 	273248.6878	 diff8 = 	310060.4585
Iter = 	40	 relative error = 	1.0536	 diff_step = 	267891.321	 diff = 	5157791.8939	 diff1 = 	4926950.7696	 diff2 = 	-46.4337	 diff3 = 	-0.31613	 diff4 = 	-0.086568	 diff5 = 	23697.7801	 diff6 = 	32958.7875	 diff7 = 	174231.3931	 diff8 = 	207190.1806
Iter = 	60	 relative error = 	1.0481	 diff_step = 	143457.528	 diff = 	5057659.4944	 diff1 = 	4870375.2657	 diff2 = 	-39.7178	 diff3 = 	-0.27169	 diff4 = 	-0.072366	 diff5 = 	28050.5853	 diff6 = 	30151.086	 diff7 = 	129122.6192	 diff8 = 	159273.7052
Iter = 	80	 relative error = 	1.0457	 diff_step = 	87856.3796	 diff = 	5007732.7063	 diff1 = 	4844663.6432	 diff2 = 	-35.3545	 diff3 = 	-0.24219	 diff4 = 	-0.063617	 diff5 = 	31610.4552	 diff6 = 	28065.1271	 diff7 = 	103429.141	 diff8 = 	131494.2681
Iter = 	100	 relative error = 	1.0444	 diff_step = 	58220.0127	 diff = 	4979504.2276	 diff1 = 	4831543.9841	 diff2 = 	-32.2535	 diff3 = 	-0.221	 diff4 = 	-0.057637	 diff5 = 	34601.7494	 diff6 = 	26465.9849	 diff7 = 	86925.0413	 diff8 = 	113391.0262
Iter = 	120	 relative error = 	1.0436	 diff_step = 	40857.473	 diff = 	4961953.9762	 diff1 = 	4824133.4123	 diff2 = 	-29.9212	 diff3 = 	-0.20499	 diff4 = 	-0.053274	 diff5 = 	37154.5815	 diff6 = 	25210.0448	 diff7 = 	75486.117	 diff8 = 	100696.1618
Iter = 	140	 relative error = 	1.0431	 diff_step = 	30526.951	 diff = 	4950234.1532	 diff1 = 	4819566.7798	 diff2 = 	-28.0972	 diff3 = 	-0.19246	 diff4 = 	-0.049944	 diff5 = 	39360.2877	 diff6 = 	24205.6664	 diff7 = 	67129.7589	 diff8 = 	91335.4253
Iter = 	160	 relative error = 	1.0427	 diff_step = 	24002.6736	 diff = 	4942018.8437	 diff1 = 	4816584.3222	 diff2 = 	-26.6295	 diff3 = 	-0.18236	 diff4 = 	-0.047318	 diff5 = 	41285.4657	 diff6 = 	23390.5545	 diff7 = 	60785.3605	 diff8 = 	84175.915
Iter = 	180	 relative error = 	1.0425	 diff_step = 	19475.5723	 diff = 	4936055.7233	 diff1 = 	4814556.7344	 diff2 = 	-25.4226	 diff3 = 	-0.17405	 diff4 = 	-0.045196	 diff5 = 	42978.824	 diff6 = 	22720.9836	 diff7 = 	55824.8232	 diff8 = 	78545.8068
Iter = 	200	 relative error = 	1.0422	 diff_step = 	16219.4262	 diff = 	4931590.8458	 diff1 = 	4813117.1237	 diff2 = 	-24.4131	 diff3 = 	-0.1671	 diff4 = 	-0.043449	 diff5 = 	44476.5486	 diff6 = 	22165.8185	 diff7 = 	51855.9786	 diff8 = 	74021.7971
Iter = 	220	 relative error = 	1.0421	 diff_step = 	13809.0643	 diff = 	4928165.4713	 diff1 = 	4812058.9345	 diff2 = 	-23.557	 diff3 = 	-0.1612	 diff4 = 	-0.041989	 diff5 = 	45806.884	 diff6 = 	21702.0639	 diff7 = 	48621.3491	 diff8 = 	70323.413
Iter = 	240	 relative error = 	1.0419	 diff_step = 	11948.851	 diff = 	4925484.6864	 diff1 = 	4811257.7575	 diff2 = 	-22.8226	 diff3 = 	-0.15614	 diff4 = 	-0.040753	 diff5 = 	46992.6874	 diff6 = 	21312.361	 diff7 = 	45944.9	 diff8 = 	67257.261
Iter = 	260	 relative error = 	1.0418	 diff_step = 	10463.692	 diff = 	4923352.2559	 diff1 = 	4810636.2349	 diff2 = 	-22.1867	 diff3 = 	-0.15175	 diff4 = 	-0.039695	 diff5 = 	48052.7677	 diff6 = 	20983.3854	 diff7 = 	43702.246	 diff8 = 	64685.6314
Iter = 	280	 relative error = 	1.0417	 diff_step = 	9247.1964	 diff = 	4921633.7171	 diff1 = 	4810144.9643	 diff2 = 	-21.6315	 diff3 = 	-0.14792	 diff4 = 	-0.038782	 diff5 = 	49002.7863	 diff6 = 	20704.7388	 diff7 = 	41803.046	 diff8 = 	62507.7848
Iter = 	300	 relative error = 	1.0416	 diff_step = 	8237.5761	 diff = 	4920234.4431	 diff1 = 	4809751.5132	 diff2 = 	-21.1435	 diff3 = 	-0.14454	 diff4 = 	-0.037989	 diff5 = 	49855.9481	 diff6 = 	20468.1879	 diff7 = 	40180.12	 diff8 = 	60648.3079
Iter = 	320	 relative error = 	1.0416	 diff_step = 	7387.405	 diff = 	4919085.8061	 diff1 = 	4809433.6133	 diff2 = 	-20.712	 diff3 = 	-0.14155	 diff4 = 	-0.037295	 diff5 = 	50623.505	 diff6 = 	20267.1068	 diff7 = 	38782.4718	 diff8 = 	59049.5787
Iter = 	340	 relative error = 	1.0415	 diff_step = 	6657.1664	 diff = 	4918136.0345	 diff1 = 	4809174.6315	 diff2 = 	-20.3283	 diff3 = 	-0.13889	 diff4 = 	-0.036684	 diff5 = 	51315.1363	 diff6 = 	20096.0863	 diff7 = 	37570.6842	 diff8 = 	57666.7706
Iter = 	360	 relative error = 	1.0414	 diff_step = 	6026.8854	 diff = 	4917344.5346	 diff1 = 	4808960.9567	 diff2 = 	-19.9855	 diff3 = 	-0.13651	 diff4 = 	-0.036145	 diff5 = 	51939.2473	 diff6 = 	19950.6794	 diff7 = 	36513.8093	 diff8 = 	56464.4888
Iter = 	380	 relative error = 	1.0414	 diff_step = 	5477.9633	 diff = 	4916680.7439	 diff1 = 	4808783.0039	 diff2 = 	-19.6781	 diff3 = 	-0.13437	 diff4 = 	-0.035666	 diff5 = 	52503.1782	 diff6 = 	19827.1934	 diff7 = 	35587.2165	 diff8 = 	55414.4099
Iter = 	400	 relative error = 	1.0414	 diff_step = 	4987.8363	 diff = 	4916121.0669	 diff1 = 	4808633.6719	 diff2 = 	-19.4014	 diff3 = 	-0.13244	 diff4 = 	-0.03524	 diff5 = 	53013.3726	 diff6 = 	19722.5243	 diff7 = 	34771.0672	 diff8 = 	54493.5914
Iter = 	420	 relative error = 	1.0413	 diff_step = 	4550.803	 diff = 	4915646.7091	 diff1 = 	4808507.2584	 diff2 = 	-19.1513	 diff3 = 	-0.13069	 diff4 = 	-0.03486	 diff5 = 	53475.4943	 diff6 = 	19634.0592	 diff7 = 	34049.2141	 diff8 = 	53683.2733
Iter = 	440	 relative error = 	1.0413	 diff_step = 	4163.729	 diff = 	4915242.6066	 diff1 = 	4808399.1737	 diff2 = 	-18.9248	 diff3 = 	-0.1291	 diff4 = 	-0.034519	 diff5 = 	53894.5399	 diff6 = 	19559.5927	 diff7 = 	33408.3888	 diff8 = 	52967.9815
